x,y,m
47,103,-1.0
0,0,-1.0
15,21,1.0
119,204,-1.0
-40,-1,-1.0
238,78,2.0
-23,13,1.0
91,105,-1.0
-118,36,-1.0
-10,22,-1.0
0,0,1.0
86,132,-1.0
2,95,-1.0
-150,53,-1.0
-109,231,2.0
-60,138,1.0
71,73,1.0
154,201,-1.0
-67,94,1.0
-6,27,-1.0
-129,219,2.0
10,64,-1.0
16,253,-1.0
-232,30,-1.0
47,74,1.0
-69,90,1.0
-223,13,-1.0
66,68,1.0
20,15,1.0
-112,215,-1.0
-143,218,-1.0
-28,38,1.0
-145,234,2.0
36,83,-1.0
146,216,-1.0
31,9,1.0
22,26,1.0
-116,83,-1.0
-185,172,2.0
16,19,-1.0
83,110,-1.0
0,0,-1.0
-92,263,2.0
-230,15,-1.0
-76,240,-1.0
-148,45,1.0
22,9,1.0
81,136,1.0
33,24,-1.0
0,0,1.0
-230,21,-1.0
-45,267,2.0
-233,32,-1.0
7,256,-1.0
-115,302,-1.0
-233,32,2.0
-44,262,2.0
-25,143,-1.0
-45,100,-1.0
223,2,-1.0
23,176,1.0
87,22,-1.0
22,12,1.0
-16,17,-1.0
-186,202,-1.0
11,12,-1.0
-2,105,-1.0
-104,249,-1.0
224,83,2.0
230,105,2.0
197,159,2.0
-232,31,2.0
-178,204,-1.0
-49,158,-1.0
-47,76,1.0
-229,41,-1.0
21,20,1.0
10,23,1.0
54,36,-1.0
-164,215,-1.0
47,142,1.0
-169,226,-1.0
228,59,2.0
21,43,-1.0
-207,143,-1.0
-213,154,-1.0
-20,139,-1.0
15,15,1.0
37,275,-1.0
1,13,1.0
10,15,1.0
71,79,-1.0
13,260,-1.0
65,262,2.0
-233,11,-1.0
153,231,-1.0
-217,155,2.0
241,48,-1.0
29,46,-1.0
-181,203,-1.0
23,27,-1.0
-2,24,1.0
69,24,1.0
65,106,1.0
-10,94,1.0
-189,188,-1.0
44,37,1.0
88,156,1.0
232,40,-1.0
59,255,2.0
-237,69,-1.0
64,173,-1.0
-233,73,2.0
-234,68,-1.0
-2,32,1.0
-67,258,2.0
-76,261,-1.0
15,34,1.0
-158,220,2.0
18,6,1.0
13,534,-1.0
9,40,1.0
36,66,-1.0
48,113,1.0
-23,27,1.0
138,231,2.0
138,232,-1.0
47,58,-1.0
50,85,-1.0
-2,34,1.0
-12,25,1.0
-229,35,-1.0
225,42,2.0
53,32,-1.0
-22,9,1.0
-230,83,2.0
-33,93,-1.0
48,83,-1.0
-230,131,-1.0
21,31,-1.0
-178,216,-1.0
49,75,-1.0
6,22,-1.0
-31,35,-1.0
0,0,1.0
191,75,-1.0
-43,24,-1.0
-173,216,-1.0
23,63,-1.0
127,239,2.0
67,383,-1.0
36,257,-1.0
28,42,-1.0
-1,33,1.0
-61,280,-1.0
2,11,1.0
1,8,1.0
-20,90,-1.0
-26,18,-1.0
205,146,2.0
-233,39,-1.0
6,10,-1.0
-16,63,-1.0
-16,54,1.0
232,46,-1.0
115,231,-1.0
-25,12,-1.0
-6,10,1.0
145,214,-1.0
83,144,-1.0
167,176,2.0
88,22,-1.0
-13,56,1.0
-189,181,-1.0
-2,552,-1.0
-121,242,2.0
-40,20,-1.0
15,10,-1.0
-51,48,1.0
-150,269,-1.0
29,180,-1.0
-23,26,-1.0
-21,20,1.0
-227,125,-1.0
-92,153,1.0
-31,18,-1.0
-12,105,-1.0
228,-15,-1.0
-6,20,1.0
37,4,-1.0
4,4,1.0
55,65,1.0
-206,164,-1.0
0,13,1.0
232,-10,2.0
-237,16,-1.0
1,10,1.0
-229,35,2.0
56,25,-1.0
-10,243,2.0
2,227,1.0
-60,84,-1.0
-1,78,1.0
-1,267,-1.0
21,21,1.0
-18,37,-1.0
156,216,-1.0
-163,214,2.0
-118,231,2.0
-5,13,1.0
13,15,1.0
7,263,2.0
26,38,-1.0
43,127,1.0
83,129,1.0
9,15,1.0
-23,16,-1.0
-40,89,-1.0
17,20,1.0
227,19,-1.0
211,155,-1.0
116,31,1.0
110,-8,-1.0
-2,25,-1.0
107,235,-1.0
16,43,-1.0
-222,9,-1.0
1,-2,1.0
-175,176,-1.0
0,15,1.0
4,85,-1.0
-88,11,-1.0
55,47,-1.0
-173,176,-1.0
44,53,-1.0
179,184,-1.0
-15,256,2.0
16,50,1.0
27,35,1.0
208,148,2.0
-227,31,-1.0
-5,19,1.0
-129,232,-1.0
12,357,-1.0
37,83,-1.0
-112,27,1.0
-71,120,-1.0
-93,248,2.0
11,29,1.0
-64,172,1.0
29,69,-1.0
126,228,-1.0
228,13,-1.0
-71,116,1.0
71,25,1.0
-168,236,2.0
-100,118,-1.0
-44,50,-1.0
180,25,-1.0
23,18,-1.0
0,0,1.0
-10,18,1.0
-4,123,1.0
-132,154,-1.0
-10,13,1.0
137,223,2.0
-5,91,-1.0
228,34,-1.0
-7,264,2.0
-234,53,-1.0
-99,65,1.0
11,154,-1.0
50,95,-1.0
22,254,-1.0
6,11,1.0
53,76,-1.0
0,13,1.0
146,227,-1.0
-12,111,-1.0
-9,20,1.0
-176,189,-1.0
-18,31,-1.0
26,18,-1.0
192,160,-1.0
217,133,-1.0
-217,144,2.0
-235,34,-1.0
180,184,-1.0
-5,20,1.0
49,29,-1.0
234,107,2.0
-153,218,-1.0
-165,199,2.0
229,33,2.0
-207,149,-1.0
-26,147,1.0
-230,10,-1.0
-20,4,-1.0
81,273,-1.0
1,18,1.0
-59,267,2.0
25,13,1.0
-7,293,-1.0
-234,58,-1.0
-61,65,-1.0
-5,23,-1.0
-109,238,-1.0
1,27,1.0
-22,67,1.0
0,91,1.0
94,241,-1.0
217,97,-1.0
224,39,2.0
135,215,-1.0
-4,34,1.0
10,28,1.0
-72,118,1.0
-4,17,1.0
-169,202,-1.0
-108,248,-1.0
26,100,1.0
-44,264,-1.0
1,5,1.0
-137,217,-1.0
-2,17,-1.0
82,146,1.0
4,25,1.0
152,206,2.0
-140,204,-1.0
229,31,2.0
-34,83,-1.0
-225,100,-1.0
-224,86,-1.0
-23,36,-1.0
