game_id,home_team_id,home_team_name,home_team_city,home_team_tricode,home_team_wins,home_team_losses,home_team_score,away_team_id,away_team_name,away_team_city,away_team_tricode,away_team_wins,away_team_losses,away_team_score,arena,arena_city,arena_state,arena_country,arena_timezone,gameTimeET,gameTimeUTC,duration,attendance,sellout
0022301197,1610612759,Spurs,San Antonio,SAS,22,60,123,1610612765,Pistons,Detroit,DET,14,68,95,Frost Bank Center,San Antonio,TX,US,Central,2024-04-14T15:30:00Z,2024-04-14T19:30:00Z,1:55,18516,1
0022300786,1610612743,Nuggets,Denver,DEN,36,19,98,1610612758,Kings,Sacramento,SAC,31,23,102,Ball Arena,Denver,CO,US,Mountain,2024-02-14T21:00:00Z,2024-02-15T02:00:00Z,2:15,19617,1
0022300769,1610612762,Jazz,Utah,UTA,26,28,107,1610612744,Warriors,Golden State,GSW,26,25,129,Delta Center,Salt Lake City,UT,US,Mountain,2024-02-12T21:00:00Z,2024-02-13T02:00:00Z,2:07,18206,1
0022300293,1610612765,Pistons,Detroit,DET,2,21,123,1610612754,Pacers,Indiana,IND,13,8,131,Little Caesars Arena,Detroit,MI,US,Eastern,2023-12-11T19:00:00Z,2023-12-12T00:00:00Z,2:12,14988,0
0022300339,1610612744,Warriors,Golden State,GSW,11,14,124,1610612751,Nets,Brooklyn,BKN,13,12,120,Chase Center,San Francisco,CA,US,Pacific,2023-12-16T20:30:00Z,2023-12-17T01:30:00Z,2:14,18064,1
0022301178,1610612750,Timberwolves,Minnesota,MIN,56,25,109,1610612737,Hawks,Atlanta,ATL,36,45,106,Target Center,Minneapolis,MN,US,Central,2024-04-12T20:00:00Z,2024-04-13T00:00:00Z,2:23,18024,1
0022300572,1610612739,Cavaliers,Cleveland,CLE,24,15,135,1610612749,Bucks,Milwaukee,MIL,28,13,95,Rocket Mortgage FieldHouse,Cleveland,OH,US,Eastern,2024-01-17T19:30:00Z,2024-01-18T00:30:00Z,2:02,19432,1
0022300088,1610612765,Pistons,Detroit,DET,2,1,118,1610612741,Bulls,Chicago,CHI,1,2,102,Little Caesars Arena,Detroit,MI,US,Eastern,2023-10-28T19:00:00Z,2023-10-28T23:00:00Z,2:11,20062,1
0022300122,1610612745,Rockets,Houston,HOU,1,3,128,1610612766,Hornets,Charlotte,CHA,1,3,119,Toyota Center,Houston,TX,US,Central,2023-11-01T20:00:00Z,2023-11-02T00:00:00Z,2:08,16263,0
0022300821,1610612737,Hawks,Atlanta,ATL,25,32,109,1610612753,Magic,Orlando,ORL,32,26,92,State Farm Arena,Atlanta,GA,US,Eastern,2024-02-25T19:00:00Z,2024-02-26T00:00:00Z,2:06,17173,1
0022301226,1610612757,Trail Blazers,Portland,POR,6,15,112,1610612742,Mavericks,Dallas,DAL,13,8,125,Moda Center,Portland,OR,US,Pacific,2023-12-08T22:00:00Z,2023-12-09T03:00:00Z,2:16,18762,0
0022300964,1610612740,Pelicans,New Orleans,NOP,40,26,112,1610612746,Clippers,LA,LAC,42,24,104,Smoothie King Center,New Orleans,LA,US,Central,2024-03-15T20:00:00Z,2024-03-16T00:00:00Z,2:09,18865,1
0022300437,1610612757,Trail Blazers,Portland,POR,9,22,134,1610612759,Spurs,San Antonio,SAS,5,26,128,Moda Center,Portland,OR,US,Pacific,2023-12-29T22:00:00Z,2023-12-30T03:00:00Z,2:14,18861,0
0022300067,1610612751,Nets,Brooklyn,BKN,0,1,113,1610612739,Cavaliers,Cleveland,CLE,1,0,114,Barclays Center,Brooklyn,NY,US,Eastern,2023-10-25T19:30:00Z,2023-10-25T23:30:00Z,2:18,17931,1
0022300749,1610612746,Clippers,LA,LAC,35,16,112,1610612765,Pistons,Detroit,DET,8,44,106,Crypto.com Arena,Los Angeles,CA,US,Pacific,2024-02-10T15:30:00Z,2024-02-10T20:30:00Z,2:13,19370,1
0022300319,1610612738,Celtics,Boston,BOS,18,5,116,1610612739,Cavaliers,Cleveland,CLE,13,12,107,TD Garden,Boston,MA,US,Eastern,2023-12-14T19:30:00Z,2023-12-15T00:30:00Z,2:07,19156,1
0022301158,1610612739,Cavaliers,Cleveland,CLE,47,33,110,1610612763,Grizzlies,Memphis,MEM,27,53,98,Rocket Mortgage FieldHouse,Cleveland,OH,US,Eastern,2024-04-10T19:00:00Z,2024-04-10T23:00:00Z,2:09,19432,1
0022300876,1610612739,Cavaliers,Cleveland,CLE,39,21,98,1610612752,Knicks,New York,NYK,36,25,107,Rocket Mortgage FieldHouse,Cleveland,OH,US,Eastern,2024-03-03T19:00:00Z,2024-03-04T00:00:00Z,2:07,19432,1
0022300175,1610612737,Hawks,Atlanta,ATL,5,4,109,1610612748,Heat,Miami,MIA,5,4,117,State Farm Arena,Atlanta,GA,US,Eastern,2023-11-11T19:30:00Z,2023-11-12T00:30:00Z,2:13,17722,1
0022300525,1610612744,Warriors,Golden State,GSW,17,20,105,1610612740,Pelicans,New Orleans,NOP,23,15,141,Chase Center,San Francisco,CA,US,Pacific,2024-01-10T20:30:00Z,2024-01-11T01:30:00Z,2:20,18064,1
0022300030,1610612739,Cavaliers,Cleveland,CLE,6,6,108,1610612765,Pistons,Detroit,DET,2,11,100,Rocket Mortgage FieldHouse,Cleveland,OH,US,Eastern,2023-11-17T19:30:00Z,2023-11-18T00:30:00Z,2:05,19432,1
0022300460,1610612763,Grizzlies,Memphis,MEM,11,22,106,1610612759,Spurs,San Antonio,SAS,5,28,98,FedExForum,Memphis,TN,US,Central,2024-01-02T20:00:00Z,2024-01-03T01:00:00Z,2:20,17794,1
0022300933,1610612765,Pistons,Detroit,DET,11,53,114,1610612766,Hornets,Charlotte,CHA,16,49,97,Little Caesars Arena,Detroit,MI,US,Eastern,2024-03-11T19:00:00Z,2024-03-11T23:00:00Z,2:07,18003,0
0022300899,1610612744,Warriors,Golden State,GSW,33,28,125,1610612749,Bucks,Milwaukee,MIL,41,22,90,Chase Center,San Francisco,CA,US,Pacific,2024-03-06T22:00:00Z,2024-03-07T03:00:00Z,2:11,18064,1
0022300533,1610612737,Hawks,Atlanta,ATL,15,22,108,1610612754,Pacers,Indiana,IND,23,15,126,State Farm Arena,Atlanta,GA,US,Eastern,2024-01-12T19:30:00Z,2024-01-13T00:30:00Z,2:05,15596,0
