x,y,m
-5,271,2.0
-76,147,-1.0
1,47,-1.0
188,180,-1.0
65,31,-1.0
-34,95,-1.0
-88,248,-1.0
-170,214,2.0
64,139,-1.0
11,253,-1.0
136,249,2.0
-212,163,-1.0
-4,21,1.0
-2,11,1.0
-203,167,-1.0
-43,190,-1.0
116,236,2.0
-175,204,2.0
-51,127,-1.0
-23,20,-1.0
-2,25,-1.0
-183,209,-1.0
5,2,1.0
-53,25,1.0
-196,207,-1.0
1,13,1.0
104,22,1.0
7,13,1.0
18,13,-1.0
-47,267,2.0
229,-25,2.0
16,259,-1.0
34,0,1.0
65,262,2.0
6,12,1.0
9,23,-1.0
16,5,-1.0
7,0,-1.0
0,10,1.0
62,258,2.0
4,37,-1.0
178,200,2.0
0,269,-1.0
10,13,1.0
-54,268,-1.0
-54,49,1.0
12,8,1.0
1,12,-1.0
-186,163,-1.0
0,11,1.0
-5,25,-1.0
-22,19,1.0
27,262,-1.0
-195,176,-1.0
-87,41,1.0
29,16,1.0
174,72,1.0
-207,143,-1.0
-31,24,1.0
9,127,1.0
42,24,-1.0
0,0,1.0
-185,183,-1.0
6,264,-1.0
180,200,2.0
-186,169,-1.0
7,68,-1.0
40,25,1.0
191,179,-1.0
-33,26,1.0
-228,29,-1.0
222,151,-1.0
42,41,-1.0
0,0,1.0
93,46,-1.0
74,27,-1.0
158,221,-1.0
-112,239,2.0
212,176,-1.0
42,255,2.0
2,66,-1.0
53,45,-1.0
-16,27,1.0
189,187,-1.0
-189,163,-1.0
-228,51,-1.0
-54,158,1.0
36,20,1.0
29,256,2.0
-168,190,-1.0
-10,32,1.0
118,52,-1.0
150,137,-1.0
-21,83,1.0
42,79,-1.0
-184,184,2.0
50,34,-1.0
-6,255,-1.0
161,208,-1.0
37,32,-1.0
203,176,-1.0
185,206,-1.0
-44,255,-1.0
-141,147,-1.0
-9,38,1.0
39,32,-1.0
-234,58,2.0
31,28,1.0
-163,223,2.0
-31,16,1.0
-29,304,-1.0
229,94,-1.0
230,-4,-1.0
-29,31,-1.0
82,262,-1.0
-124,80,1.0
-183,191,2.0
2,41,1.0
-16,278,-1.0
2,74,-1.0
-33,27,-1.0
0,0,1.0
40,28,1.0
-232,37,2.0
-6,268,2.0
-181,117,-1.0
-13,106,1.0
229,100,-1.0
-80,64,-1.0
21,41,-1.0
37,29,1.0
156,205,2.0
147,233,-1.0
33,5,1.0
42,15,1.0
-6,59,-1.0
137,222,-1.0
-38,285,-1.0
-200,235,-1.0
-5,27,1.0
-109,269,2.0
-228,20,-1.0
29,28,1.0
169,231,-1.0
-10,21,1.0
93,253,2.0
32,25,1.0
-6,16,-1.0
-40,26,-1.0
-173,199,2.0
9,33,1.0
25,136,1.0
-195,185,-1.0
114,243,2.0
18,41,-1.0
222,138,-1.0
-164,215,2.0
23,214,-1.0
100,145,-1.0
0,0,-1.0
75,255,2.0
28,26,1.0
-170,215,2.0
-157,216,2.0
-2,25,1.0
-11,50,-1.0
-21,27,1.0
-25,26,-1.0
20,25,1.0
0,22,-1.0
55,127,1.0
-132,239,2.0
-143,222,2.0
-5,29,1.0
185,472,-1.0
1,71,-1.0
114,10,-1.0
169,204,2.0
114,135,-1.0
-99,256,-1.0
167,211,-1.0
-92,235,2.0
50,255,2.0
-138,216,2.0
-26,20,-1.0
16,38,1.0
-131,237,2.0
25,55,-1.0
164,198,-1.0
-138,230,2.0
-205,159,2.0
-5,24,1.0
9,17,1.0
-120,234,2.0
-105,257,-1.0
10,117,1.0
23,78,-1.0
1,23,-1.0
59,142,-1.0
-132,243,-1.0
180,191,-1.0
-13,47,-1.0
-9,16,1.0
-11,28,1.0
-212,137,-1.0
172,201,2.0
-100,264,2.0
-9,29,1.0
-113,264,-1.0
162,181,-1.0
-176,199,2.0
47,101,1.0
-212,139,2.0
10,33,1.0
-183,215,2.0
-1,23,1.0
25,32,-1.0
136,237,2.0
-45,244,2.0
-10,55,1.0
-6,33,1.0
172,181,2.0
-9,7,-1.0
223,33,-1.0
230,80,2.0
0,167,1.0
-121,246,-1.0
223,2,-1.0
-176,204,2.0
108,243,2.0
2,26,1.0
-12,260,-1.0
210,141,2.0
-9,18,1.0
-37,36,1.0
-4,32,1.0
-192,162,2.0
-21,27,1.0
-74,53,-1.0
-163,201,2.0
206,144,-1.0
-172,212,2.0
131,18,-1.0
6,306,2.0
23,12,1.0
16,270,2.0
5,22,1.0
-25,283,2.0
-191,169,-1.0
18,22,1.0
34,21,1.0
-54,280,2.0
4,20,1.0
-12,311,-1.0
-64,76,-1.0
56,11,-1.0
77,-1,-1.0
-37,44,-1.0
20,18,1.0
44,21,-1.0
-21,112,-1.0
0,0,1.0
-10,160,-1.0
-39,68,1.0
-223,8,2.0
-62,118,-1.0
-54,254,2.0
12,8,-1.0
15,15,-1.0
-78,277,-1.0
-37,23,-1.0
-107,167,1.0
-18,17,1.0
15,6,1.0
-126,248,2.0
29,274,-1.0
20,11,-1.0
-22,23,1.0
18,10,1.0
-26,17,1.0
0,-5,1.0
-4,48,-1.0
12,10,-1.0
137,205,-1.0
-102,235,-1.0
22,8,-1.0
-6,-4,1.0
-213,147,-1.0
234,14,2.0
-25,9,-1.0
-135,89,1.0
159,200,-1.0
12,48,-1.0
17,3,1.0
